Model,Category
T-6A,SINGLE-ENGINE TURBINE
T-6B,SINGLE-ENGINE TURBINE
TA-4A,SINGLE-ENGINE TURBINE
TA-4J,SINGLE-ENGINE TURBINE
TAV-8B,SINGLE-ENGINE TURBINE
TC-12B,MULTI-ENGINE TURBINE
TF-51D,SINGLE ENGINE
TG-16A,GLIDER
TH-1H,HELICOPTER
TH-57A,HELICOPTER
TH-57B,HELICOPTER
TH-57C,HELICOPTER
TH-6,HELICOPTER
TYPHOON-CE 16-01,MULTI-ENGINE TURBINE
TYPHOON-FGR4,MULTI-ENGINE TURBINE
U-28A,SINGLE-ENGINE TURBINE
U-6A,SINGLE ENGINE
UC-12B,MULTI-ENGINE
UC-12F,MULTI-ENGINE
UC-12M,MULTI-ENGINE
UC-12W,MULTI-ENGINE
UC-35,MULTI-ENGINE TURBINE
UC-35C,MULTI-ENGINE TURBINE
UC-35D,MULTI-ENGINE TURBINE
UH-1H,HELICOPTER
UH-1N,HELICOPTER
UH-1V,HELICOPTER
UH-1Y,HELICOPTER
UH-3D,HELICOPTER
UH-60A,HELICOPTER
UH-60L,HELICOPTER
UH-60M,HELICOPTER
UH-60N,HELICOPTER
UH-60R,HELICOPTER
UH-72A,HELICOPTER
VH-3A,HELICOPTER
VH-3D,HELICOPTER
VH-60N,HELICOPTER
VH-71,HELICOPTER
VH-92,HELICOPTER
W-3A,HELICOPTER
WB-57F,MULTI-ENGINE TURBINE
X-26,GLIDER
